event_id,trace_file,trace_day,minute_in_day,absolute_minute,trace_second,hash_app,hash_function,function_id,cold_key,cold_key_value,trigger,invocations_in_minute,cold_by_keepalive,top_selection,relative_trace_second,scaled_second_default
11,invocations_per_function_md.anon.d01.csv,d01,5,5,240,62748773bfef739ca9e90db2ebd8647150a0d51aeef965b5a95286c26bec3650,ad71d1a9dabe4e9c31ae4ee16e9d2675face4f3f30fdf13a4488f71dfd6e35db,62748773bfef739ca9e90db2ebd8647150a0d51aeef965b5a95286c26bec3650/ad71d1a9dabe4e9c31ae4ee16e9d2675face4f3f30fdf13a4488f71dfd6e35db,app,62748773bfef739ca9e90db2ebd8647150a0d51aeef965b5a95286c26bec3650,http,1,1,top_cold,240,4.8
12,invocations_per_function_md.anon.d01.csv,d01,5,5,240,b0fc6efced2a2e4421afbb4822a0f620266f17788893b6fcd6bef54711667b63,42af3a348e965a6089924bd4c90f7098d8ea814825ec289017cb18e8ed1cdcb9,b0fc6efced2a2e4421afbb4822a0f620266f17788893b6fcd6bef54711667b63/42af3a348e965a6089924bd4c90f7098d8ea814825ec289017cb18e8ed1cdcb9,app,b0fc6efced2a2e4421afbb4822a0f620266f17788893b6fcd6bef54711667b63,http,1,1,top_cold,240,4.8
13,invocations_per_function_md.anon.d01.csv,d01,9,9,480,9b4ba9fda6f685d8a855e7bc6ddcb01fc4162d4e5a8d65199a48875af248da37,426986c5ffe36b01ac065490a27bcb3f7b22ac9267704e84c997f76907e16de1,9b4ba9fda6f685d8a855e7bc6ddcb01fc4162d4e5a8d65199a48875af248da37/426986c5ffe36b01ac065490a27bcb3f7b22ac9267704e84c997f76907e16de1,app,9b4ba9fda6f685d8a855e7bc6ddcb01fc4162d4e5a8d65199a48875af248da37,queue,9,1,top_cold,480,9.6
14,invocations_per_function_md.anon.d01.csv,d01,19,19,1080,eb8c1929589bb307d0d101f92f8a923c96909abc82aea78cc284b65aee59c140,a53fe209012e4519de1aa9d0cb9976f27843b90b4c7dc925f7eb131fd75b9904,eb8c1929589bb307d0d101f92f8a923c96909abc82aea78cc284b65aee59c140/a53fe209012e4519de1aa9d0cb9976f27843b90b4c7dc925f7eb131fd75b9904,app,eb8c1929589bb307d0d101f92f8a923c96909abc82aea78cc284b65aee59c140,http,1,1,top_cold,1080,21.6
15,invocations_per_function_md.anon.d01.csv,d01,23,23,1320,f5594c2a4ad9bd260c2c44e14761be379b978d3a598332dc309ffe477da0167b,6519ed8187771c390f1911cdd9f974cc729db72a480e4fda80d0af0ec09f112a,f5594c2a4ad9bd260c2c44e14761be379b978d3a598332dc309ffe477da0167b/6519ed8187771c390f1911cdd9f974cc729db72a480e4fda80d0af0ec09f112a,app,f5594c2a4ad9bd260c2c44e14761be379b978d3a598332dc309ffe477da0167b,queue,1,1,top_cold,1320,26.400000000000002
16,invocations_per_function_md.anon.d01.csv,d01,24,24,1380,738224f25d36d4da3ebbc5d801d2b054537be6e0d25a64e19e67873af43b74f6,b9dd4d4e2317f0585ef5a1d1d3174d1d350390324019ab2a274315f0f6442253,738224f25d36d4da3ebbc5d801d2b054537be6e0d25a64e19e67873af43b74f6/b9dd4d4e2317f0585ef5a1d1d3174d1d350390324019ab2a274315f0f6442253,app,738224f25d36d4da3ebbc5d801d2b054537be6e0d25a64e19e67873af43b74f6,timer,1,1,top_cold,1380,27.6
17,invocations_per_function_md.anon.d01.csv,d01,24,24,1380,80957497457b7f12997d76faaf0a7160df51be8257f9442bc437a9fba8204eaf,d1afe9715296303cf7a43d7a082f2f1cbb89409d1ab88e6d5fbd58942e581bf0,80957497457b7f12997d76faaf0a7160df51be8257f9442bc437a9fba8204eaf/d1afe9715296303cf7a43d7a082f2f1cbb89409d1ab88e6d5fbd58942e581bf0,app,80957497457b7f12997d76faaf0a7160df51be8257f9442bc437a9fba8204eaf,timer,1,1,top_cold,1380,27.6
18,invocations_per_function_md.anon.d01.csv,d01,29,29,1680,0f7010c024950e536277a77868bfd639be6e92d1faf4ae2b3b5f89dd619b5028,3fd9e257c698026dee5541a06b03678932afe245e8ef3ac25784e14525ee0be3,0f7010c024950e536277a77868bfd639be6e92d1faf4ae2b3b5f89dd619b5028/3fd9e257c698026dee5541a06b03678932afe245e8ef3ac25784e14525ee0be3,app,0f7010c024950e536277a77868bfd639be6e92d1faf4ae2b3b5f89dd619b5028,queue,9,1,top_cold,1680,33.6
19,invocations_per_function_md.anon.d01.csv,d01,29,29,1680,2e09b894572329e836fee845dda03c9412ec3c1a8c0bf9fdbd069f0adcc8c111,a63e8cff460a704248723c30b2c69bfa867e68c5205586c2d3b45aa839f234d2,2e09b894572329e836fee845dda03c9412ec3c1a8c0bf9fdbd069f0adcc8c111/a63e8cff460a704248723c30b2c69bfa867e68c5205586c2d3b45aa839f234d2,app,2e09b894572329e836fee845dda03c9412ec3c1a8c0bf9fdbd069f0adcc8c111,queue,36,1,top_cold,1680,33.6
20,invocations_per_function_md.anon.d01.csv,d01,29,29,1680,4f169fb17b90fd318db981104b811dee2e145c767f843dda7afcce83bc62d4e0,a7f39da20cadec4da25fd661f10b838ba4b38e6ce976ce33d8365e91d0cf1326,4f169fb17b90fd318db981104b811dee2e145c767f843dda7afcce83bc62d4e0/a7f39da20cadec4da25fd661f10b838ba4b38e6ce976ce33d8365e91d0cf1326,app,4f169fb17b90fd318db981104b811dee2e145c767f843dda7afcce83bc62d4e0,timer,1,1,top_cold,1680,33.6
